task,property,taskprop_name,mae_llm_avg,mae_ml_avg,mae_ratio,sali_ecfp,sali_rdkit,sali_maccs,sali_chemberta,sali_avg,
raw,mw,Raw $\mathtt{MW}$,12.43954857,43.35334612,0.28693399,1.181490401,1.184680807,1.336241953,2.265726749,1.492034977,1
raw,logp,Raw $\mathtt{logP}$,0.736023443,0.999369273,0.736487965,1.472357081,1.493978082,1.675809338,2.975592261,1.904434191,1
raw,sp3,Raw sp3,0.119224431,0.105446489,1.130662881,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,0
raw,tpsa,Raw $\mathtt{TPSA}$,11.89147143,11.98785884,0.99195958,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,0
raw,mr,Raw $\mathtt{MR}$,8.667753143,10.10601841,0.857682303,1.184252587,1.184640441,1.341023058,2.277818621,1.496933677,1
raw,chi,Raw $\mathtt{Chi1v}$,1.038331914,1.202534695,0.863452771,1.292031825,1.29607169,1.466829205,2.518578206,1.643377732,1
raw,hka,Raw $\mathtt{HKA}$,0.440914286,0.460576636,0.957309276,1.144719189,1.149130036,1.278480139,2.196570582,1.442224986,1
raw,bj,Raw $\mathtt{BJ}$,0.460257155,0.347631189,1.323981192,1.300265007,1.313878631,1.479792982,2.692544626,1.696620312,0
robust_zscore,mw,Robust Standardized $\mathtt{MW}$,0.503837792,0.429498682,1.173083442,1.181490401,1.184680807,1.336241953,2.265726749,1.492034977,nan
robust_zscore,logp,Robust Standardized $\mathtt{logP}$,0.656100904,0.678239176,0.967359196,1.472357081,1.493978082,1.675809338,2.975592261,1.904434191,nan
robust_zscore,sp3,Robust Standardized sp3,0.2767336,0.199361121,1.388102146,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,0
robust_zscore,tpsa,Robust Standardized $\mathtt{TPSA}$,0.363108041,0.3270522,1.110244913,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,0
robust_zscore,mr,Robust Standardized $\mathtt{MR}$,0.446810016,0.401436344,1.113028311,1.184252587,1.184640441,1.341023058,2.277818621,1.496933677,nan
robust_zscore,chi,Robust Standardized $\mathtt{Chi1v}$,0.56521941,0.502788129,1.124170158,1.292031825,1.29607169,1.466829205,2.518578206,1.643377732,nan
robust_zscore,hka,Robust Standardized $\mathtt{HKA}$,0.431750442,0.42890174,1.006641851,1.144719189,1.149130036,1.278480139,2.196570582,1.442224986,nan
robust_zscore,bj,Robust Standardized $\mathtt{BJ}$,0.79062896,0.644190957,1.227320799,1.300265007,1.313878631,1.479792982,2.692544626,1.696620312,0
lt,mw,Scaled Robust Standardized $\mathtt{MW}$,519.6746537,407.8413489,1.274207863,1.181490401,1.184680807,1.336241953,2.265726749,1.492034977,0
lt,logp,Scaled Robust Standardized $\mathtt{logP}$,643.3043597,662.4777944,0.971057996,1.472357081,1.493978082,1.675809338,2.975592261,1.904434191,nan
lt,sp3,Scaled Robust Standardized sp3,293.6205563,197.9106794,1.483601376,0.848404393,0.849439192,0.933212276,1.655691952,1.071686953,0
lt,tpsa,Scaled Robust Standardized $\mathtt{TPSA}$,387.4069757,316.0187306,1.225898778,1.030945711,1.036014449,1.140760313,1.942130355,1.287462707,0
lt,mr,Scaled Robust Standardized $\mathtt{MR}$,422.1902392,385.3879882,1.095494027,1.184252587,1.184640441,1.341023058,2.277818621,1.496933677,0
lt,chi,Scaled Robust Standardized $\mathtt{Chi1v}$,490.1234143,479.4893992,1.02217779,1.292031825,1.29607169,1.466829205,2.518578206,1.643377732,1
lt,hka,Scaled Robust Standardized $\mathtt{HKA}$,418.3856419,412.9864194,1.013073608,1.144719189,1.149130036,1.278480139,2.196570582,1.442224986,nan
