y,gpt,Class
186.295,198.296,1
169.567,178.554,1
89.094,89.094,1
346.467,272.218,1
310.687,310.687,1
102.177,88.146,1
261.119,233.085,1
154.212,154.2,1
90.191,90.19,1
116.204,102.172,1
142.201,167.218,1
238.287,251.302,1
146.111,146.111,1
180.156,180.156,1
402.487,422.565,1
290.447,272.432,1
180.163,176.131,1
367.816,308.61,1
88.15,88.15,1
136.114,122.096,1
88.106,88.12,1
212.252,212.246,1
166.223,228.276,1
214.25,212.26,1
333.266,320.247,1
88.106,88.104,1
122.167,108.14,1
278.335,275.307,1
326.437,360.87,1
89.094,89.096,1
175,176.01,1
154.253,128.215,1
299.288,296.3,1
188.23,186.214,1
144.214,144.208,1
136.15,136.15,1
68.119,54.088,1
252.731,251.723,1
393.854,333.788,1
338.795,269.732,1
289.545,272.518,1
70.135,56.104,1
88.15,88.146,1
268.36,272.222,1
214.062,214.062,1
134.222,134.212,1
106.124,106.118,1
238.159,261.18,1
184.242,169.218,1
182.179,166.18,1
257.547,257.526,1
134.222,134.212,1
172.209,169.2,1
202.256,228.276,1
288.255,286.239,1
183.169,185.098,1
96.944,94.92,1
79.102,79.1,1
372.808,356.77,1
88.15,88.146,1
267.306,253.277,1
346.339,357.342,1
154.125,138.128,1
64.515,64.515,1
230.909,243.928,1
102.177,102.172,1
235.906,235.906,1
360.882,431.776,1
368.369,371.393,1
312.118,310.11,1
153.137,153.136,1
409.782,397.771,1
88.106,88.104,1
200.322,200.322,1
327.123,310.106,1
466.479,452.372,1
139.11,139.11,1
504.438,540.468,2
54.092,54.088,1
333.604,308.558,1
137.142,136.138,1
353.49,346.451,1
114.232,114.224,1
314.425,312.453,1
588.562,550,2
128.558,129.57,1
258.104,214.051,1
331.202,306.172,1
102.133,102.133,1
84.933,84.933,1
122.167,122.167,1
291.992,291.992,1
70.135,70.13,1
84.933,82.917,1
197.448,197.44,1
588.562,550,2
214.294,213.294,1
150.177,150.17,1
179.101,179.094,1
32.042,32.05,1
,,10.62805155
,,37.718
,,0.046049875
,,0.067488015
