y,gpt,Class
186.295,172.26,1
169.567,162.55,1
89.094,89.093,1
346.467,390,2
310.687,310.681,1
102.177,88.146,1
261.119,260,2
154.212,154.22,1
90.191,104.216,1
116.204,102.172,1
142.201,142.2,2
238.287,252.35,1
146.111,146.104,1
180.156,182.179,2
402.487,422.542,1
290.447,314.425,2
180.163,190,2
367.816,340,2
88.15,74.123,2
136.114,120,2
88.106,88.12,1
212.252,250,2
166.223,216.18,1
214.25,199.26,1
333.266,330,2
88.106,102.13,1
122.167,136.2,2
278.335,244.27,1
326.437,359.827,2
89.094,103.079,1
175,177.01,1
154.253,154.244,1
299.288,275.3,2
188.23,230,2
144.214,145.22,1
136.15,136.15,2
68.119,68,2
252.731,266.8,2
393.854,350.591,2
338.795,363.86,1
289.545,303.671,2
70.135,56.11,1
88.15,88.146,1
268.36,293.42,1
214.062,216.08,1
134.222,120.2,2
106.124,106.121,2
238.159,230,2
184.242,169.23,2
182.179,198.222,2
257.547,257.547,2
134.222,105.152,1
172.209,172.15,2
202.256,228.286,1
288.255,298.35,2
183.169,173.09,1
96.944,96.94,1
79.102,84.1,2
372.808,290,2
88.15,102.178,2
267.306,241.29,1
346.339,280,1
154.125,142.07,2
64.515,64.51,1
230.909,250,2
102.177,102.172,1
235.906,235.9,1
360.882,427.72,1
368.369,368.369,1
312.118,330.2,1
153.137,153.18,1
409.782,380.913,2
88.106,88.104,1
200.322,186.3,2
327.123,300,2
466.479,422.5,2
139.11,139.11,1
504.438,504.437,2
54.092,54.088,1
333.604,285.57,1
137.142,134.13,1
353.49,320.45,1
114.232,114.224,1
314.425,386.45,2
588.562,350,2
128.558,129.56,1
258.104,193.009,1
331.202,323,1
102.133,102.13,1
84.933,85,2
122.167,122.15,2
291.992,289.976,2
70.135,68.114,1
84.933,82.91,1
197.448,197,2
588.562,550,2
214.294,213.34,1
150.177,150.17,2
179.101,179.094,1
32.042,32.042,2
,,13.19690566
,,21.83597872
,,0.063737472
,,0.075129191
