Property,Fingerprint,Mean_SALI,Count
Molecular Weight_robust_zscore,ecfp,1.1814904006384832,635508
Molecular Weight_robust_zscore,rdkit,1.184680806876426,635479
Molecular Weight_robust_zscore,maccs,1.3362419534601713,634603
Molecular Weight_robust_zscore,chemberta,2.265726748893377,635597
Molecular Weight_sq,ecfp,2.5567604474469126,635508
Molecular Weight_sq,rdkit,2.6523006120350563,635479
Molecular Weight_sq,maccs,2.987423621988994,634603
Molecular Weight_sq,chemberta,4.9741329586403324,635597
Molecular Weight_lg,ecfp,1.6321440966503644,635508
Molecular Weight_lg,rdkit,1.6458631207582644,635479
Molecular Weight_lg,maccs,1.876269757492099,634603
Molecular Weight_lg,chemberta,3.3529664310267364,635597
Molecular Weight_sn,ecfp,0.8504890542967023,635508
Molecular Weight_sn,rdkit,0.8684059033506787,635479
Molecular Weight_sn,maccs,0.9832742873456791,634603
Molecular Weight_sn,chemberta,2.0345216876607592,635597
Molecular Weight_ex,ecfp,4.512428501852799,635508
Molecular Weight_ex,rdkit,4.7310408644935515,635479
Molecular Weight_ex,maccs,5.37165467984015,634603
Molecular Weight_ex,chemberta,7.9716979394775205,635597
LogP_robust_zscore,ecfp,1.472357081389028,635508
LogP_robust_zscore,rdkit,1.4939780816387163,635479
LogP_robust_zscore,maccs,1.6758093381042343,634603
LogP_robust_zscore,chemberta,2.9755922613421233,635597
LogP_sq,ecfp,4.1175436299638575,635508
LogP_sq,rdkit,4.242167273487119,635479
LogP_sq,maccs,4.754457791170124,634603
LogP_sq,chemberta,7.971437089113939,635597
LogP_lg,ecfp,1.439984179138547,635508
LogP_lg,rdkit,1.4536399704125795,635479
LogP_lg,maccs,1.654879839370344,634603
LogP_lg,chemberta,3.3796173971465895,635597
LogP_sn,ecfp,0.8716469874792686,635508
LogP_sn,rdkit,0.8902988420486658,635479
LogP_sn,maccs,1.0078559694609335,634603
LogP_sn,chemberta,2.084238479847511,635597
LogP_ex,ecfp,5.179977959040818,635508
LogP_ex,rdkit,5.453778135383519,635479
LogP_ex,maccs,5.916813135848045,634603
LogP_ex,chemberta,9.31422321346133,635597
TPSA_robust_zscore,ecfp,1.0309457112841827,635508
TPSA_robust_zscore,rdkit,1.0360144490831769,635479
TPSA_robust_zscore,maccs,1.1407603127551023,634603
TPSA_robust_zscore,chemberta,1.9421303552359703,635597
TPSA_sq,ecfp,2.5487273192725604,635508
TPSA_sq,rdkit,2.6322682699126387,635479
TPSA_sq,maccs,2.953930991309465,634603
TPSA_sq,chemberta,4.795682126975309,635597
TPSA_lg,ecfp,1.8932727077649147,635508
TPSA_lg,rdkit,1.8844881609181727,635479
TPSA_lg,maccs,2.130433616251514,634603
TPSA_lg,chemberta,4.143381733643204,635597
TPSA_sn,ecfp,1.1300378676658704,635508
TPSA_sn,rdkit,1.1367740427321094,635479
TPSA_sn,maccs,1.2902295872853378,634603
TPSA_sn,chemberta,2.4857841623961057,635597
TPSA_ex,ecfp,5.344969821463233,635508
TPSA_ex,rdkit,5.59378994994808,635479
TPSA_ex,maccs,6.266644127815534,634603
TPSA_ex,chemberta,9.572610076758885,635597
sp3_robust_zscore,ecfp,0.848404392811493,635508
sp3_robust_zscore,rdkit,0.8494391921330141,635479
sp3_robust_zscore,maccs,0.93321227577527,634603
sp3_robust_zscore,chemberta,1.6556919518393658,635597
sp3_sq,ecfp,1.1946372088354658,635508
sp3_sq,rdkit,1.1875072546734642,635479
sp3_sq,maccs,1.3262193680959597,634603
sp3_sq,chemberta,2.400969234116533,635597
sp3_lg,ecfp,1.362234722609151,635508
sp3_lg,rdkit,1.3685386714916605,635479
sp3_lg,maccs,1.5431832964347465,634603
sp3_lg,chemberta,2.8135429147254025,635597
sp3_sn,ecfp,2.006684444455207,635508
sp3_sn,rdkit,2.030952575443172,635479
sp3_sn,maccs,2.3269158538027708,634603
sp3_sn,chemberta,4.427465214685734,635597
sp3_ex,ecfp,1.675229581225937,635508
sp3_ex,rdkit,1.6732659887436143,635479
sp3_ex,maccs,1.8412448888282136,634603
sp3_ex,chemberta,3.2668354670080366,635597
MolMR_robust_zscore,ecfp,1.1842525869140668,635508
MolMR_robust_zscore,rdkit,1.1846404414467098,635479
MolMR_robust_zscore,maccs,1.3410230578686086,634603
MolMR_robust_zscore,chemberta,2.277818621311324,635597
MolMR_sq,ecfp,2.4605143446034266,635508
MolMR_sq,rdkit,2.534711195122348,635479
MolMR_sq,maccs,2.8785424445999923,634603
MolMR_sq,chemberta,4.856276959197403,635597
MolMR_lg,ecfp,1.5360354721946967,635508
MolMR_lg,rdkit,1.5485773047736147,635479
MolMR_lg,maccs,1.7726685530026407,634603
MolMR_lg,chemberta,3.2568383892022608,635597
MolMR_sn,ecfp,0.8324371841270708,635508
MolMR_sn,rdkit,0.8485732550639126,635479
MolMR_sn,maccs,0.9617698330588534,634603
MolMR_sn,chemberta,1.986598233016137,635597
MolMR_ex,ecfp,4.0695032643536475,635508
MolMR_ex,rdkit,4.236261697578346,635479
MolMR_ex,maccs,4.840199168117675,634603
MolMR_ex,chemberta,7.219338471507342,635597
BJ_robust_zscore,ecfp,1.3002650068563981,635508
BJ_robust_zscore,rdkit,1.3138786308548132,635479
BJ_robust_zscore,maccs,1.4797929823640643,634603
BJ_robust_zscore,chemberta,2.692544626481185,635597
BJ_sq,ecfp,2.86909326338964,635508
BJ_sq,rdkit,2.911790464087641,635479
BJ_sq,maccs,3.2683963488776047,634603
BJ_sq,chemberta,6.371074686766429,635597
BJ_lg,ecfp,1.3710643575805617,635508
BJ_lg,rdkit,1.3906924156520661,635479
BJ_lg,maccs,1.569927512023222,634603
BJ_lg,chemberta,2.95793708311355,635597
BJ_sn,ecfp,0.8302944702076137,635508
BJ_sn,rdkit,0.8461170275648505,635479
BJ_sn,maccs,0.9577094271384902,634603
BJ_sn,chemberta,1.908807620536432,635597
BJ_ex,ecfp,2.3964738933695955,635508
BJ_ex,rdkit,2.41138763946679,635479
BJ_ex,maccs,2.702945398820047,634603
BJ_ex,chemberta,4.88457394773743,635597
Chi_robust_zscore,ecfp,1.2920318250036869,635508
Chi_robust_zscore,rdkit,1.296071689797297,635479
Chi_robust_zscore,maccs,1.466829204872013,634603
Chi_robust_zscore,chemberta,2.518578206486791,635597
Chi_sq,ecfp,3.2964622801030328,635508
Chi_sq,rdkit,3.395543194775926,635479
Chi_sq,maccs,3.8507593452111584,634603
Chi_sq,chemberta,6.477099978582481,635597
Chi_lg,ecfp,1.4813285386386623,635508
Chi_lg,rdkit,1.4922178627760418,635479
Chi_lg,maccs,1.704913065252771,634603
Chi_lg,chemberta,3.216354157550336,635597
Chi_sn,ecfp,0.8309849428198457,635508
Chi_sn,rdkit,0.8476628370664643,635479
Chi_sn,maccs,0.9612261246043099,634603
Chi_sn,chemberta,2.002924409641621,635597
Chi_ex,ecfp,9.795130040659478,635508
Chi_ex,rdkit,10.346956412413087,635479
Chi_ex,maccs,11.910396160783979,634603
Chi_ex,chemberta,17.027160984611477,635597
HKA_robust_zscore,ecfp,1.1447191886139154,635508
HKA_robust_zscore,rdkit,1.1491300356196505,635479
HKA_robust_zscore,maccs,1.2784801390733458,634603
HKA_robust_zscore,chemberta,2.196570581606798,635597
HKA_sq,ecfp,2.2612121664574363,635508
HKA_sq,rdkit,2.3054613501645873,635479
HKA_sq,maccs,2.5827608452145516,634603
HKA_sq,chemberta,4.462192613816089,635597
HKA_lg,ecfp,1.4881573914030768,635508
HKA_lg,rdkit,1.4915402610601936,635479
HKA_lg,maccs,1.6984227334334439,634603
HKA_lg,chemberta,3.1105085583076066,635597
HKA_sn,ecfp,0.832518630384964,635508
HKA_sn,rdkit,0.8425443669507199,635479
HKA_sn,maccs,0.9571267677802028,634603
HKA_sn,chemberta,1.8462457015051483,635597
HKA_ex,ecfp,1.8551477512572372,635508
HKA_ex,rdkit,1.8776454481785372,635479
HKA_ex,maccs,2.058380679207352,634603
HKA_ex,chemberta,3.6718183534085864,635597
